0	5	8	Interestingly enough, many of the products announced today did not receive a live onstage demo, and most will be available much later this year.	The $9.99 monthly subscription is available today in the US and Canada, and the price covers family sharing.
0	28	36	The Apple Card will be available this summer.	The Apple TV app will receive an update for Channels this May.
0	38	9	Support will expand to more than 100 countries, but the company did not specify a regional launch timeline.	The first month is free.
0	19	32	The card also generates new security codes each time you make a purchase.	You can also play games across Apple devices, including the iPhone, iPad, Apple TV, and a Mac computer, and games will be available for offline play.
0	30	4	Unlike cloud gaming services announced by Google last week at GDC, Apple’s version is more like a subscription to games that are available through the App Store instead of traditional titles that you can play on sets like the PlayStation, Xbox, or Nintendo Switch (unless, of course, the game is also offered on iOS).	All of the above services highlight privacy as Apple’s key differentiator, with each product noting that there will no ads, and your consumption behavior will never be shared with marketers.
0	28	35	The Apple Card will be available this summer.	However, pricing was not shared during the keynote.
0	34	46	Called Apple TV Channels, subscribers can choose which channels they’d like to subscribe to and pay per channel instead of a traditional, large package from cable companies.	There will be original programming that includes documentaries about immigrant life in America, science fiction about a world where inhabitants are blind, and children’s programming featuring Sesame Street characters.
0	25	24	Apple will also offer a physical titanium card for real-life uses or when you’re traveling, but rewards for those purchases are 1 percent cash back.	The card should be accepted wherever Mastercard is.
0	27	39	The app will offer a wheel that shows you how much interest you will end up paying based on the minimum payments you make to help you make your decisions.	In addition to the new Channels service for the Apple TV, there’s now also a Plus package for original programming.
0	3	21	Today’s keynote also brought a new business venture for Apple with a new credit card service.	(You can generate one, though, if you plan to buy something from a site that does not yet support Apple Card but takes 16-digit credit card information.)
0	17	27	Unlike traditional applications, you can apply directly on the iPhone and, once approved, the card is stored digitally on the Wallet app where you can view your statements, balance, and payment due dates.	The app will offer a wheel that shows you how much interest you will end up paying based on the minimum payments you make to help you make your decisions.
0	41	1	It spent the rest of the time introducing a gaggle of directors, actors, and actresses to help unveil Apple TV Plus, including Oprah Winfrey, Reese Witherspoon, Steven Spielberg, Jason Momoa, Steve Carell, Alfre Woodard, Sesame Street’s Big Bird, and Kumail Nanjiani.	After a week of nearly daily hardware updates leading up to today, Apple finally unveiled its software news with an onslaught of new subscription services.
0	44	22	Sara Bareilles showed up and sang.	Details on what you’ve purchased are also stored locally to, again, prevent potential ad targeting.
1	30	31	Unlike cloud gaming services announced by Google last week at GDC, Apple’s version is more like a subscription to games that are available through the App Store instead of traditional titles that you can play on sets like the PlayStation, Xbox, or Nintendo Switch (unless, of course, the game is also offered on iOS).	The company did not disclose the subscription fee, but it says that it will include access to more than 100 games that are exclusive to iOS.
0	8	37	The $9.99 monthly subscription is available today in the US and Canada, and the price covers family sharing.	The app will also come to the Mac in the fall, and it will be available through smart televisions, Roku, and Amazon Fire TV starting this spring.
0	46	20	There will be original programming that includes documentaries about immigrant life in America, science fiction about a world where inhabitants are blind, and children’s programming featuring Sesame Street characters.	It doesn’t even have a credit card number, CVV, signature, or expiration date.
0	12	25	You can also browse through magazines you subscribe to, and new issues are automatically downloaded for offline reading when they are released.	Apple will also offer a physical titanium card for real-life uses or when you’re traveling, but rewards for those purchases are 1 percent cash back.
0	12	18	You can also browse through magazines you subscribe to, and new issues are automatically downloaded for offline reading when they are released.	The app also tags locations and retailers to help you browse through transactions and remember where you may have made that purchase.
0	48	27	I guess we’ll see more trailers in the fall.	The app will offer a wheel that shows you how much interest you will end up paying based on the minimum payments you make to help you make your decisions.
0	46	28	There will be original programming that includes documentaries about immigrant life in America, science fiction about a world where inhabitants are blind, and children’s programming featuring Sesame Street characters.	The Apple Card will be available this summer.
0	21	43	(You can generate one, though, if you plan to buy something from a site that does not yet support Apple Card but takes 16-digit credit card information.)	Famous people forced everyone to participate in a light ASMR.
0	31	13	The company did not disclose the subscription fee, but it says that it will include access to more than 100 games that are exclusive to iOS.	At launch, subscribers can access up to 300 magazines.
